Generacion,Vivas,Muertas
1,140,160
2,131,169
3,130,170
4,135,165
5,114,186
6,135,165
7,128,172
8,127,173
9,118,182
10,121,179
11,121,179
12,122,178
13,139,161
14,121,179
15,138,162
16,145,155
17,119,181
18,120,180
19,139,161
20,131,169
21,127,173
22,130,170
23,132,168
24,122,178
25,126,174
26,129,171
27,131,169
28,129,171
29,119,181
30,123,177
